18,8h,20,27721554,0.000251
18,8i,18,96855123,0.000269
18,8j,18,37279554,0.000259
22,10a,27,54908256611,0.000362
22,10b,27,31431320143,0.000353
22,10c,27,15715660072,0.000335
22,10d,26,11923742515,0.000337
22,10e,27,17992337526,0.000353
22,10f,25,31431320143,0.000382
22,10g,27,16269113070,0.000362
22,10h,25,40242630989,0.000367
22,10i,25,32538226140,0.000343
22,10j,28,7857830036,0.000339
22,4a,35,5206117,0.00032
22,4b,32,20116045,0.000297
22,4c,27,6578970,0.00027
22,4d,35,26449811,0.000297
22,4e,38,20638866,0.000308
22,4f,34,35141285,0.0003
22,4g,33,13525887,0.000301
22,4h,36,4294914,0.000289
22,4i,34,3623834,0.000295
22,4j,31,602722,0.000268
22,6a,35,213298391,0.000339
22,6b,38,756120048,0.000323
22,6c,33,2328245937,0.000343
22,6d,34,79747037,0.000299
22,6e,29,1108330949,0.000314
22,6f,34,359941034,0.000334
22,6g,37,554165475,0.000335
22,6h,34,51510568,0.000313
22,6i,34,1108330949,0.000331
22,6j,30,245557189,0.000326
22,8a,31,4656491873,0.000342
22,8b,33,1164122969,0.000315
22,8c,31,9640955894,0.000338
22,8d,27,714144881,0.000328
22,8e,30,3462626972,0.000329
22,8f,31,4656491873,0.00034
22,8g,28,2879528272,0.000343
22,8h,32,4656491873,0.000329
22,8i,32,1164122969,0.000334
22,8j,33,2515164437,0.000331
26,10a,46,4317654921528,0.000483
26,10b,42,382098561848,0.000428
26,10c,41,338624663517,0.000437
26,10d,36,338624663517,0.000402
26,10e,42,1821510670020,0.000471
26,10f,33,6113576989563,0.000445
26,10g,37,229736377149,0.000408
26,10h,39,246202393207,0.000419
26,10i,41,103866634634,0.000382
26,10j,41,1528394247391,0.00043
26,4a,44,159956038,0.000342
26,4b,39,2498642895,0.000368
26,4c,37,228909026,0.000365
26,4d,44,57227257,0.000347
26,4e,32,54484570,0.000337
26,4f,37,217938280,0.000388
26,4g,45,336016057,0.000357
26,4h,39,1275166008,0.000416
26,4i,38,1275166008,0.000396
